player,position,gleague_team,nba_affiliate,age,draft_path,gp,mpg,pts,reb,ast,stl,blk,ts_pct,note,source_url
Tristen Newton,G,Rio Grande Valley Vipers,Houston Rockets,25,Undrafted 2024 (UConn); two-way HOU,35,36.2,25.6,5.2,4.5,,,0.672,Called up Jan 2026,https://www.statscrew.com/minorbasketball/stats/p-newtotri001
Daishen Nix,G,Rio Grande Valley Vipers,Houston Rockets,24,Undrafted 2021 (ex-G League Ignite),35,36.6,22.0,7.7,7.1,3.4,,0.598,Led G League in steals (119 total),https://www.statscrew.com/minorbasketball/stats/p-nixdai001
Harrison Ingram,F,Austin Spurs,San Antonio Spurs,23,Undrafted 2024 (Stanford/UNC); two-way SAS,32,34.6,16.8,12.4,4.9,,,0.58,Elite rebounding wing,https://www.statscrew.com/minorbasketball/stats/p-ingrahar001
Hunter Dickinson,C,Birmingham Squadron,New Orleans Pelicans,25,Undrafted 2025 (Michigan/Kansas); two-way NOP,33,31.2,18.0,10.8,3.2,,,0.654,Led G League rebounders; 39.1% 3P for a 7-footer,https://www.statscrew.com/minorbasketball/stats/p-dickihun001
Rocco Zikarsky,C,Iowa Wolves,Minnesota Timberwolves,20,2025 2nd rd (NBL Australia); two-way MIN,28,27.4,15.8,9.8,1.0,,3.64,0.64,"7'3""; led G League in total blocks (102)",https://www.statscrew.com/minorbasketball/stats/p-zikarroc001
Norchad Omier,F/C,San Diego Clippers,LA Clippers,24,Undrafted 2023 (Miami/Baylor/Ark St.); two-way LAC,27,31.0,19.3,12.3,2.6,,,0.696,Called up Feb 2026; most efficient big in pool,https://www.statscrew.com/minorbasketball/stats/p-omiernor001
PJ Hall,F/C,Greensboro Swarm,Charlotte Hornets,24,2024 2nd rd; two-way CHA,23,29.6,18.9,11.3,2.3,,,0.719,Called up Dec 2025; highest-efficiency big in group,https://www.statscrew.com/minorbasketball/stats/p-hallpj001
Kennedy Chandler,PG,Delaware Blue Coats,Philadelphia 76ers / Utah Jazz (10-day),23,"2022 2nd rd Pk38; affiliate deal w/ PHI, 10-day UTA Mar 2026",28,33.9,15.3,2.6,9.0,,,0.553,"Elite table-setter, 251 total assists",https://www.statscrew.com/minorbasketball/stats/p-chandken001
Reece Beekman,PG,Osceola Magic,Orlando Magic,24,2024 2nd rd Pk42,34,35.1,10.5,4.4,7.1,,,0.591,Top-5 league steals; low-usage connective guard,https://www.statscrew.com/minorbasketball/stats/p-beekmree001
Darius Brown II,PG,Cleveland Charge,Cleveland Cavaliers,27,Undrafted 2024 (Utah St./Montana St.); two-way CLE,33,32.9,12.8,4.2,10.6,,,0.633,"Led entire G League in assists; over-25, included for elite production",https://www.statscrew.com/minorbasketball/stats/p-browndar002
James Bouknight,SG,Mexico City Capitanes,Unaffiliated (former CHA 1st rd),25,2021 Rd1 Pk11 (CHA); no longer on NBA roster,36,31.2,19.4,4.2,2.7,,,0.662,3rd-leading scorer in G League; bust-redemption story,https://www.statscrew.com/minorbasketball/stats/p-bouknjam001
Jules Bernard,SG/SF,Iowa Wolves,Minnesota Timberwolves,26,Undrafted 2022 (UCLA); two-way MIN,32,35.4,23.7,5.9,5.4,,,0.599,High-usage lead scorer; over-25,https://www.statscrew.com/minorbasketball/stats/p-bernajul001
Malik Williams,C,South Bay Lakers,LA Lakers (status uncertain),27,Undrafted 2023 (Louisville),34,27.8,15.2,9.2,2.3,,,0.558,2nd-leading rebounder in G League; over-25,https://www.statscrew.com/minorbasketball/stats/p-willimal001
RayJ Dennis,PG,College Park Skyhawks,Atlanta Hawks,25,Undrafted 2023 (Toledo/Baylor/Boise St.); two-way ATL,31,36.2,24.2,4.8,10.4,,,0.582,Top-5 scorer AND assists leader simultaneously - rare combo,https://www.statscrew.com/minorbasketball/stats/p-denniray001
Jamarion Sharp,C,Texas Legends,None confirmed (possible LAC two-way),24,Undrafted 2024 (Western Kentucky/Ole Miss),25,24.9,7.1,7.3,0.5,,6.36,0.718,"7'5"" specialist; led G League in total blocks (159); very low usage",https://www.statscrew.com/minorbasketball/stats/p-sharpjam001
John Butler Jr.,PF/C,Wisconsin Herd,Milwaukee Bucks,23,"2023 2nd rd Pk55 (POR, now MIL org)",35,29.2,9.8,5.7,1.8,,,0.678,"7'0"" stretch big returning from injury",https://www.statscrew.com/minorbasketball/stats/p-butlejoh001
Chris Manon,G,South Bay Lakers,LA Lakers,24,Undrafted 2025 (Vanderbilt/Cornell); two-way LAL,33,25.2,10.3,5.6,2.2,,,0.629,High-steal defensive combo guard,https://www.statscrew.com/minorbasketball/stats/p-manonchr001
Andersson Garcia,F,Mexico City Capitanes,None (10-day UTA Mar 2026),25,Undrafted 2025 (Texas A&M/Miss St.),30,26.8,11.5,10.7,2.1,,,0.672,Elite offensive rebounder/finisher,https://www.statscrew.com/minorbasketball/stats/p-garciand001
