player,position,gleague_team,gleague_season,age_g,gp_g,mpg_g,pts_g,reb_g,ast_g,stl_g,blk_g,ts_g,per_g,usg_g,ws48_g,draft_info,breakout_season,age_bo,breakout_note,pts_bo,reb_bo,ast_bo,ts_bo,usg_bo,per_bo,ws48_bo,bpm_bo,source_url
Pascal Siakam,PF,Raptors 905,2016-17,22,5,29.0,18.2,8.6,2.6,2.2,1.6,0.608,29.4,25.7,0.265,2016 Rd1 Pk27 (TOR),2018-19,24,Most Improved Player; first full-time starter,16.9,6.9,3.1,0.628,20.8,18.7,0.175,2.4,https://www.basketball-reference.com/gleague/players/s/siakapa01d.html
Rudy Gobert,C,Bakersfield Jam,2013-14,21,8,27.0,13.9,11.4,0.4,0.6,3.0,0.757,36.3,16.0,0.296,"2013 Rd1 Pk27 (DEN, traded to UTA)",2016-17,24,All-Defense 1st team; DPOY runner-up; full-time starter/anchor,14.0,12.8,1.2,0.681,16.7,23.3,0.25,4.4,https://www.basketball-reference.com/gleague/players/g/goberru01d.html
Khris Middleton,SF,Fort Wayne Mad Ants,2012-13,21,3,26.3,11.0,7.7,3.0,0.7,0.3,0.351,10.3,27.9,-0.067,"2012 Rd2 Pk39 (DET, traded to MIL)",2015-16,24,"First season as go-to scorer, big usage jump; later multi-time All-Star",18.2,3.8,4.2,0.56,23.0,16.8,0.103,0.6,https://www.basketball-reference.com/gleague/players/m/middlkh01d.html
Hassan Whiteside,C,Multiple (Reno/RGV/Sioux Falls/Iowa),career (2010-15),23,65,13.7,7.2,5.5,,,,0.596,21.5,,0.118,2010 Rd2 Pk33 (SAC); overseas 2012-14,2014-15,25,Overnight elite per-minute producer after signing with Miami,11.8,10.0,,0.619,21.1,26.2,0.221,4.1,https://www.basketball-reference.com/gleague/players/w/whiteha01d.html
Danny Green,SG,Reno Bighorns/Austin Toros,2010-11,23,17,37.1,20.1,7.5,2.5,,,0.57,21.4,24.2,0.136,"2009 Rd2 Pk46 (CLE, waived, signed by SAS)",2012-13,25,First full-time starter; led NBA in 3P%; 3-and-D emergence during Finals run,10.5,3.1,1.8,0.6,16.6,14.1,0.128,2.8,https://www.basketball-reference.com/gleague/players/g/greenda01d.html
Fred VanVleet,PG,Raptors 905,2016-17,22,16,32.4,16.9,3.5,7.6,1.5,0.1,0.528,19.7,25.5,0.164,Undrafted 2016 (TOR),2019-20,25,First season as full-time starter; scoring leap 11.0->17.6 ppg,17.6,3.8,6.6,0.553,21.7,16.3,0.145,2.7,https://www.basketball-reference.com/gleague/players/v/vanvlfr01d.html
Christian Wood,PF/C,Wisconsin Herd,2018-19,23,28,35.3,29.3,14.1,2.4,,,0.631,32.6,30.1,0.241,Undrafted 2015; multiple 10-days,2019-20,24,"First extended NBA role (Detroit); elite efficiency, 6MOY votes",13.1,6.3,,0.659,23.0,23.2,0.183,3.1,https://www.basketball-reference.com/gleague/players/w/woodch01d.html
Duncan Robinson,SF,Sioux Falls Skyforce,2018-19,24,33,36.9,21.4,4.2,2.9,1.0,0.1,0.694,,,0.16,Undrafted 2018; two-way MIA,2019-20,25,First full NBA season as rotation/starter; led NBA in 3PT volume,13.5,3.2,1.4,0.684,16.0,13.1,0.118,0.5,https://www.basketball-reference.com/gleague/players/r/robindu01d.html
Gary Payton II,PG,Multiple (RGV/South Bay/Wisconsin/Capital City/Raptors 905),career (2016-21),26,128,30.3,15.7,7.0,4.5,,,0.561,20.5,,0.133,Undrafted 2016; many 10-days/two-ways,2021-22,29,"First real NBA rotation role (Golden State); champion, All-D votes",7.1,3.5,0.9,0.679,14.3,17.8,0.199,3.7,https://www.basketball-reference.com/gleague/players/p/paytoga01d.html
Robert Covington,SF,Rio Grande Valley Vipers,2013-14,23,42,34.1,23.2,9.2,1.7,2.4,1.4,0.572,28.8,25.5,0.161,"Undrafted 2013 (HOU, then PHI)",2014-15,24,First full season as rotation/starter after going undrafted,13.5,4.5,1.5,0.554,21.8,14.7,0.097,0.7,https://www.basketball-reference.com/gleague/players/c/covinro01d.html
Seth Curry,SG,Erie BayHawks,2014-15,24,43,37.0,23.8,3.9,4.2,,,0.64,23.2,25.5,0.181,Undrafted 2013; multiple 10-days,2016-17,26,First significant NBA role (Dallas),12.8,2.6,2.7,0.601,19.5,15.5,0.11,1.2,https://www.basketball-reference.com/gleague/players/c/curryse01d.html
Jeremy Lin,PG,Reno Bighorns,2010-11,22,20,31.8,18.0,5.8,4.4,2.1,,0.56,25.7,25.7,0.174,Undrafted 2010,2011-12,23,"""Linsanity"" - defining G-League-to-NBA breakout (NYK)",14.6,3.1,6.2,0.552,28.1,19.9,0.14,3.8,https://www.basketball-reference.com/gleague/players/l/linje01d.html
Quinn Cook,PG,Santa Cruz Warriors,2017-18,24,29,35.9,25.3,4.7,8.1,,,0.65,24.8,28.0,0.186,Undrafted 2015; many 10-days/two-ways,2017-18,24,Converted two-way to standard NBA contract; champion (weak breakout fit - remained a bench piece),9.5,2.5,2.7,0.593,17.5,12.8,0.101,-1.6,https://www.basketball-reference.com/gleague/players/c/cookqu01d.html
Yuta Watanabe,SF,Memphis Hustle,2019-20,25,22,32.7,17.2,5.6,2.3,,,0.645,18.3,18.8,0.12,Undrafted 2018; two-way MEM,2022-23,28,"Career-best efficiency/role (Brooklyn) - weak breakout fit, never a full-time starter",5.6,2.4,0.8,0.637,13.1,12.1,0.111,-0.6,https://www.basketball-reference.com/gleague/players/w/watanyu01d.html
